2026-03-25 13:52:34 [WARNING] etl.load | _fallback_insert:80 | Using row-by-row fallback for STG_ProductRaw
2026-03-25 13:52:49 [ERROR] etl.main | etl_run:184 |   Product extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:52:49 [ERROR] etl.main | etl_run:184 |   Product extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:52:49 [INFO] etl.extract | extract_customer:96 | Customer deduplication: 30 → 30 rows
2026-03-25 13:52:49 [INFO] etl.extract | extract_customer:98 | Extracted 30 customers from DanhSachKhachHang.csv
2026-03-25 13:53:04 [ERROR] etl.load | load:74 | Failed to load to STG_CustomerRaw: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 13:53:04 [WARNING] etl.load | _fallback_insert:80 | Using row-by-row fallback for STG_CustomerRaw
2026-03-25 13:53:19 [ERROR] etl.main | etl_run:194 |   Customer extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:53:19 [ERROR] etl.main | etl_run:194 |   Customer extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:53:19 [INFO] etl.extract | extract_store:93 | Store deduplication: 5 → 5 rows
2026-03-25 13:53:19 [INFO] etl.extract | extract_store:95 | Extracted 5 stores from DanhSachCuaHang.csv
2026-03-25 13:53:34 [ERROR] etl.load | load:74 | Failed to load to STG_StoreRaw: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 13:53:34 [WARNING] etl.load | _fallback_insert:80 | Using row-by-row fallback for STG_StoreRaw
2026-03-25 13:53:49 [ERROR] etl.main | etl_run:204 |   Store extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:53:49 [ERROR] etl.main | etl_run:204 |   Store extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:53:49 [INFO] etl.extract | extract_employee:82 | Employee deduplication: 20 → 20 rows
2026-03-25 13:53:49 [INFO] etl.extract | extract_employee:84 | Extracted 20 employees from DanhSachNhanVien.csv
2026-03-25 13:54:04 [ERROR] etl.load | load:74 | Failed to load to STG_EmployeeRaw: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 13:54:04 [WARNING] etl.load | _fallback_insert:80 | Using row-by-row fallback for STG_EmployeeRaw
2026-03-25 13:54:19 [ERROR] etl.main | etl_run:214 |   Employee extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:54:19 [ERROR] etl.main | etl_run:214 |   Employee extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:54:19 [INFO] etl.extract | extract_supplier:83 | Supplier deduplication: 10 → 10 rows
2026-03-25 13:54:19 [INFO] etl.extract | extract_supplier:85 | Extracted 10 suppliers from DanhSachNhaCungCap.csv
2026-03-25 13:54:34 [ERROR] etl.load | load:74 | Failed to load to STG_SupplierRaw: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 13:54:34 [WARNING] etl.load | _fallback_insert:80 | Using row-by-row fallback for STG_SupplierRaw
2026-03-25 13:54:49 [ERROR] etl.main | etl_run:224 |   Supplier extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:54:49 [ERROR] etl.main | etl_run:224 |   Supplier extraction failed: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:54:49 [INFO] etl.main | etl_run:229 | 
2026-03-25 13:54:49 [INFO] etl.main | etl_run:229 | 
2026-03-25 13:54:49 [INFO] etl.main | etl_run:230 | >>> [PHASE 2] LOAD DIMENSIONS
2026-03-25 13:54:49 [INFO] etl.main | etl_run:230 | >>> [PHASE 2] LOAD DIMENSIONS
2026-03-25 13:55:04 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimSupplier: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:04 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimSupplier: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:19 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimProduct: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:19 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimProduct: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:35 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimCustomer: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:35 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimCustomer: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:50 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimStore: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:55:50 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimStore: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:05 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimEmployee: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:05 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_DimEmployee: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:05 [INFO] etl.main | etl_run:248 | 
2026-03-25 13:56:05 [INFO] etl.main | etl_run:248 | 
2026-03-25 13:56:05 [INFO] etl.main | etl_run:249 | >>> [PHASE 3] LOAD FACTS
2026-03-25 13:56:05 [INFO] etl.main | etl_run:249 | >>> [PHASE 3] LOAD FACTS
2026-03-25 13:56:20 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactSales: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:20 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactSales: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:35 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactInventory: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:35 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactInventory: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:50 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactPurchase: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:50 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Load_FactPurchase: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:56:50 [INFO] etl.main | etl_run:265 | 
2026-03-25 13:56:50 [INFO] etl.main | etl_run:265 | 
2026-03-25 13:56:50 [INFO] etl.main | etl_run:266 | >>> [PHASE 4] REFRESH DATA MARTS
2026-03-25 13:56:50 [INFO] etl.main | etl_run:266 | >>> [PHASE 4] REFRESH DATA MARTS
2026-03-25 13:57:05 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Refresh_DM_SalesSummary: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:05 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Refresh_DM_SalesSummary: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:20 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Refresh_DM_InventoryAlert: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:20 [ERROR] etl.main | run_stored_procedure:71 | SP execution failed - sp_Refresh_DM_InventoryAlert: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:20 [INFO] etl.main | etl_run:281 | 
2026-03-25 13:57:20 [INFO] etl.main | etl_run:281 | 
2026-03-25 13:57:20 [INFO] etl.main | etl_run:282 | >>> [PHASE 5] UPDATE WATERMARKS
2026-03-25 13:57:20 [INFO] etl.main | etl_run:282 | >>> [PHASE 5] UPDATE WATERMARKS
2026-03-25 13:57:35 [ERROR] etl.main | etl_run:325 |   Failed to get max dates: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:35 [ERROR] etl.main | etl_run:325 |   Failed to get max dates: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
2026-03-25 13:57:35 [INFO] etl.main | etl_run:327 | 
2026-03-25 13:57:35 [INFO] etl.main | etl_run:327 | 
2026-03-25 13:57:35 [INFO] etl.main | etl_run:328 | ============================================================
2026-03-25 13:57:35 [INFO] etl.main | etl_run:328 | ============================================================
2026-03-25 13:57:35 [INFO] etl.main | etl_run:329 |   ETL PIPELINE COMPLETED | DB: DWH_RetailTech | Status: SUCCESS
2026-03-25 13:57:35 [INFO] etl.main | etl_run:329 |   ETL PIPELINE COMPLETED | DB: DWH_RetailTech | Status: SUCCESS
2026-03-25 13:57:35 [INFO] etl.main | etl_run:330 |   Total rows processed: 0
2026-03-25 13:57:35 [INFO] etl.main | etl_run:330 |   Total rows processed: 0
2026-03-25 13:57:35 [INFO] etl.main | etl_run:331 | ============================================================
2026-03-25 13:57:35 [INFO] etl.main | etl_run:331 | ============================================================
